order_id,service_category,delivery_type,origin_node_type,origin_node_name,origin_operator,dest_node_type,final_carrier,num_ops,num_processes,num_legs,num_transfers,has_crossdocking,has_first_mile,num_operators,total_span_hours,picking_window_hours,total_process_time_mins,complexity_score,short_picking_window,anomalous_span,complex_route,seller_origin,span_ratio
FOFCL000028470331,MESON,COLLECT,STORE,FALABELLA PLAZA VESPUCIO,FALABELLA,STORE,FALABELLA,2,1,1,0,False,False,1,13.0,1.0,60,5,True,False,False,False,0.5
FOFCL000028032018,DATE_RANGE,HOME_DELIVERY,SELLER,VKCHAMPION CLGSC-SC63D61D471F12A,SELLER,CROSSDOCK_HUB,COURIER INTERNACIONAL,4,2,2,1,False,True,2,369.02,68.0,15600,35,False,False,False,True,1.2424915824915825
FOFCL000028032230,DATE_RANGE,HOME_DELIVERY,SELLER,TECHHOME CLGSC-SC2293EA241B932,SELLER,CROSSDOCK_HUB,COURIER INTERNACIONAL,4,2,2,1,False,True,2,369.02,68.0,15600,35,False,False,False,True,1.2424915824915825
FOFCL000028032498,DATE_RANGE,HOME_DELIVERY,SELLER,YISINGSC-SC3A7BF33706582,SELLER,CROSSDOCK_HUB,COURIER INTERNACIONAL,4,2,2,1,False,True,2,393.02,94.0,17160,35,False,False,False,True,1.3232996632996632
FOFCL000028032535,DATE_RANGE,HOME_DELIVERY,SELLER,VEIDOO OFFICIAL STOREGSC-SC37E829607A9EC,SELLER,CROSSDOCK_HUB,MAILAMERICAS,4,2,2,1,False,True,1,249.02,70.0,11400,30,False,False,False,True,0.8384511784511784
FOFCL000028032304,DATE_RANGE,HOME_DELIVERY,SELLER,TECHHOME CLGSC-SC2293EA241B932,SELLER,CROSSDOCK_HUB,COURIER INTERNACIONAL,4,2,2,1,False,True,2,369.02,68.0,15600,35,False,False,False,True,1.2424915824915825
FOFCL000028032581,DATE_RANGE,HOME_DELIVERY,SELLER,TEMPO DI TUTTIGSC-SC5640750490018,SELLER,CROSSDOCK_HUB,MAILAMERICAS,4,2,2,1,False,True,1,249.02,70.0,11400,30,False,False,False,True,0.8384511784511784
FOFCL000028424408,MESON,COLLECT,STORE,FALABELLA PLAZA VESPUCIO,FALABELLA,STORE,FALABELLA,2,1,1,0,False,False,1,13.0,1.0,60,5,True,False,False,False,0.5
FOFCL000028449888,MESON,COLLECT,STORE,FALABELLA PLAZA VESPUCIO,FALABELLA,STORE,FALABELLA,2,1,1,0,False,False,1,13.0,1.0,60,5,True,False,False,False,0.5
FOFCL000028032518,DATE_RANGE,HOME_DELIVERY,SELLER,CREATE BEAUTY LIFE CLGSC-SC66C675A20C918,SELLER,CROSSDOCK_HUB,COURIER INTERNACIONAL,4,2,2,1,False,True,2,249.02,70.0,11400,35,False,False,False,True,0.8384511784511784
FOFCL000028032596,DATE_RANGE,HOME_DELIVERY,SELLER,GLOBAL SHOES MALL CLGSC-SCC88B8CEDC3BC4,SELLER,CROSSDOCK_HUB,COURIER INTERNACIONAL,4,2,2,1,False,True,2,393.02,94.0,17160,35,False,False,False,True,1.3232996632996632
FOFCL000028032641,DATE_RANGE,HOME_DELIVERY,SELLER,YUNJI STORE CLGSC-SCF91F0B5122D87,SELLER,CROSSDOCK_HUB,MAILAMERICAS,4,2,2,1,False,True,1,249.02,70.0,11400,30,False,False,False,True,0.8384511784511784
FOFCL000028326961,MESON,COLLECT,SELLER,DE TODO Y MÃSGSC-SC3B10867F798D6,SELLER,STORE,SODIMAC,8,4,4,3,True,True,2,50.67,8.0,750,100,False,False,True,True,1.948846153846154
FOFCL000028032768,DATE_RANGE,HOME_DELIVERY,SELLER,JULITA.GSC-SC803E1CC846E5E,SELLER,CROSSDOCK_HUB,COURIER INTERNACIONAL,4,2,2,1,False,True,2,225.02,70.0,9960,35,False,False,False,True,0.7576430976430977
FOFCL000028419804,MESON,COLLECT,STORE,FALABELLA PLAZA VESPUCIO,FALABELLA,STORE,FALABELLA,2,1,1,0,False,False,1,13.0,1.0,60,5,True,False,False,False,0.5
FOFCL000028032788,DATE_RANGE,HOME_DELIVERY,SELLER,TECHHOME CLGSC-SC2293EA241B932,SELLER,CROSSDOCK_HUB,COURIER INTERNACIONAL,4,2,2,1,False,True,2,369.02,68.0,15600,35,False,False,False,True,1.2424915824915825
FOFCL000028424624,REGULAR,HOME_DELIVERY,STORE,FALABELLA PARQUE ARAUCO,FALABELLA,CROSSDOCK_HUB,HOME DELIVERY CORP,4,2,2,1,False,True,2,39.18,8.0,300,25,False,False,False,False,1.1523529411764706
FOFCL000028032890,DATE_RANGE,HOME_DELIVERY,SELLER,WATER. CLGSC-SCFFFFA0441303F,SELLER,CROSSDOCK_HUB,COURIER INTERNACIONAL,4,2,2,1,False,True,2,249.02,70.0,11400,35,False,False,False,True,0.8384511784511784
FOFCL000028032818,DATE_RANGE,HOME_DELIVERY,SELLER,MÃS VENDIDO CLGSC-SC75F849C3CF033,SELLER,CROSSDOCK_HUB,COURIER INTERNACIONAL,4,2,2,1,False,True,2,393.02,94.0,17160,35,False,False,False,True,1.3232996632996632
FOFCL000028423643,MESON,COLLECT,STORE,FALABELLA CONCEPCIÃ“N,FALABELLA,STORE,FALABELLA,2,1,1,0,False,False,1,13.0,1.0,60,5,True,False,False,False,0.5
FOFCL000028032856,DATE_RANGE,HOME_DELIVERY,SELLER,JULITA.GSC-SC803E1CC846E5E,SELLER,CROSSDOCK_HUB,COURIER INTERNACIONAL,4,2,2,1,False,True,2,225.02,70.0,9960,35,False,False,False,True,0.7576430976430977
FOFCL000028033365,MESON,COLLECT,WAREHOUSE,LOF1-FBY-9006,FALABELLA,PICKUP_POINT,HOME DELIVERY CORP,6,3,3,2,True,True,1,59.0,15.0,390,55,False,False,False,False,2.269230769230769
FOFCL000028032946,MESON,COLLECT,SELLER,JACINTA TIENDAGSC-SCF1E6794638EE9,SELLER,PICKUP_POINT,HOME DELIVERY CORP,8,4,4,3,True,True,1,52.0,1.0,420,100,True,False,True,True,2.0
FOFCL000028032836,DATE_RANGE,HOME_DELIVERY,WAREHOUSE,FALABELLA FBY BT,HOME DELIVERY CORP,THREE_PL_HUB,BLUEEXPRESS,4,2,2,1,False,True,1,444.02,8.0,2010,20,False,False,False,False,1.495016835016835
FOFCL000028461162,MESON,COLLECT,STORE,FALABELLA LA SERENA,FALABELLA,STORE,FALABELLA,2,1,1,0,False,False,1,13.0,2.0,120,5,True,False,False,False,0.5
FOFCL000028440589,MESON,COLLECT,STORE,FALABELLA PLAZA EGAÃ‘A,FALABELLA,STORE,FALABELLA,2,1,1,0,False,False,1,13.0,1.0,60,5,True,False,False,False,0.5
FOFCL000028444011,MESON,COLLECT,STORE,FALABELLA ARAUCO MAIPÃš,FALABELLA,STORE,FALABELLA,2,1,1,0,False,False,1,13.0,1.0,60,5,True,False,False,False,0.5
FOFCL000028033400,MESON,COLLECT,SELLER,MONARCHGSC-SC0A9A92BF36E20,SELLER,STORE,TOTTUS,6,3,3,2,True,True,2,28.17,4.0,540,70,False,False,False,True,1.0834615384615385
FOFCL000028407980,MESON,COLLECT,STORE,FALABELLA ANTOFAGASTA,FALABELLA,STORE,FALABELLA,2,1,1,0,False,False,1,13.0,1.0,60,5,True,False,False,False,0.5
FOFCL000028033389,MESON,COLLECT,SELLER,SOCIEDAD BIBLICA CHILENAGSC-SCE28813CA8D406,SELLER,STORE,TOTTUS,8,4,4,3,True,True,2,28.17,8.0,840,100,False,False,True,True,1.0834615384615385
FOFCL000028469154,MESON,COLLECT,STORE,FALABELLA QUILPUÃ‰,FALABELLA,STORE,FALABELLA,2,1,1,0,False,False,1,13.0,1.0,60,5,True,False,False,False,0.5
FOFCL000028033187,DATE_RANGE,HOME_DELIVERY,SELLER,YISINGSC-SC3A7BF33706582,SELLER,CROSSDOCK_HUB,COURIER INTERNACIONAL,4,2,2,1,False,True,2,393.02,94.0,17160,35,False,False,False,True,1.3232996632996632
FOFCL000028471392,MESON,COLLECT,STORE,FALABELLA TALCA,FALABELLA,STORE,FALABELLA,2,1,1,0,False,False,1,14.0,2.0,120,5,True,False,False,False,0.5384615384615384
FOFCL000028033689,DATE_RANGE,HOME_DELIVERY,SELLER,MACHINE TOY DIGITAL CLGSC-SC80413455A4DC5,SELLER,CROSSDOCK_HUB,COURIER INTERNACIONAL,4,2,2,1,False,True,2,369.02,68.0,15600,35,False,False,False,True,1.2424915824915825
FOFCL000028033865,REGULAR,HOME_DELIVERY,STORE,FALABELLA PLAZA OESTE,FALABELLA,WAREHOUSE,HOME DELIVERY CORP,6,3,3,2,True,True,1,88.02,8.0,360,55,False,False,False,False,2.5888235294117647
FOFCL000028034030,DATE_RANGE,HOME_DELIVERY,SELLER,GLOBAL SHOES MALL CLGSC-SCC88B8CEDC3BC4,SELLER,CROSSDOCK_HUB,COURIER INTERNACIONAL,4,2,2,1,False,True,2,393.02,94.0,17160,35,False,False,False,True,1.3232996632996632
FOFCL000028454131,MESON,COLLECT,STORE,FALABELLA PARQUE ARAUCO,FALABELLA,STORE,FALABELLA,2,1,1,0,False,False,1,13.0,1.0,60,5,True,False,False,False,0.5
FOFCL000028033568,DATE_RANGE,HOME_DELIVERY,SELLER,VEIDOO OFFICIAL STOREGSC-SC37E829607A9EC,SELLER,CROSSDOCK_HUB,MAILAMERICAS,4,2,2,1,False,True,1,249.02,70.0,11400,30,False,False,False,True,0.8384511784511784
FOFCL000028034089,DATE_RANGE,HOME_DELIVERY,SELLER,YUNJI STORE CLGSC-SCF91F0B5122D87,SELLER,CROSSDOCK_HUB,MAILAMERICAS,4,2,2,1,False,True,1,249.02,70.0,11400,30,False,False,False,True,0.8384511784511784
FOFCL000028034116,DATE_RANGE,HOME_DELIVERY,SELLER,WATER. CLGSC-SCFFFFA0441303F,SELLER,CROSSDOCK_HUB,COURIER INTERNACIONAL,4,2,2,1,False,True,2,249.02,70.0,11400,35,False,False,False,True,0.8384511784511784
FOFCL000028034530,DATE_RANGE,HOME_DELIVERY,SELLER,YUEMING CLGSC-SC5002CF4AACC66,SELLER,CROSSDOCK_HUB,COURIER INTERNACIONAL,4,2,2,1,False,True,2,393.02,94.0,17160,35,False,False,False,True,1.3232996632996632
FOFCL000028033666,DATE_RANGE,HOME_DELIVERY,SELLER,COOLCLUB CLGSC-SC1F96D513013BD,SELLER,CROSSDOCK_HUB,COURIER INTERNACIONAL,4,2,2,1,False,True,2,369.02,68.0,15600,35,False,False,False,True,1.2424915824915825
FOFCL000028033898,DATE_RANGE,HOME_DELIVERY,SELLER,TECHHOME CLGSC-SC2293EA241B932,SELLER,CROSSDOCK_HUB,COURIER INTERNACIONAL,4,2,2,1,False,True,2,369.02,68.0,15600,35,False,False,False,True,1.2424915824915825
FOFCL000028034289,DATE_RANGE,HOME_DELIVERY,SELLER,COOLCLUB CLGSC-SC1F96D513013BD,SELLER,CROSSDOCK_HUB,COURIER INTERNACIONAL,4,2,2,1,False,True,2,369.02,68.0,15600,35,False,False,False,True,1.2424915824915825
FOFCL000028035191,DATE_RANGE,HOME_DELIVERY,WAREHOUSE,FALABELLA FBY BT,HOME DELIVERY CORP,THREE_PL_HUB,BLUEEXPRESS,4,2,2,1,False,True,1,444.02,8.0,2010,20,False,False,False,False,1.495016835016835
FOFCL000028034790,DATE_RANGE,HOME_DELIVERY,SELLER,MÃS VENDIDO CLGSC-SC75F849C3CF033,SELLER,CROSSDOCK_HUB,COURIER INTERNACIONAL,4,2,2,1,False,True,2,393.02,94.0,17160,35,False,False,False,True,1.3232996632996632
FOFCL000028034573,MESON,COLLECT,SELLER,DPG CHILEGSC-SCD26801355247F,SELLER,PICKUP_POINT,CHILEXPRESS,8,4,4,3,True,True,2,74.17,2.0,660,105,True,False,True,True,2.852692307692308
FOFCL000028034687,MESON,COLLECT,WAREHOUSE,FALABELLA LOF3 - 9992,FALABELLA,STORE,FALABELLA,4,2,2,1,False,True,1,52.0,4.0,300,20,False,False,False,False,2.0
FOFCL000028034478,DATE_RANGE,HOME_DELIVERY,SELLER,GLOBAL SHOES MALL CLGSC-SCC88B8CEDC3BC4,SELLER,CROSSDOCK_HUB,COURIER INTERNACIONAL,4,2,2,1,False,True,2,393.02,94.0,17160,35,False,False,False,True,1.3232996632996632
FOFCL000028034654,DATE_RANGE,HOME_DELIVERY,SELLER,COOLCLUB CLGSC-SC1F96D513013BD,SELLER,CROSSDOCK_HUB,COURIER INTERNACIONAL,4,2,2,1,False,True,2,369.02,68.0,15600,35,False,False,False,True,1.2424915824915825
FOFCL000028034836,DATE_RANGE,HOME_DELIVERY,SELLER,YUNJI STORE CLGSC-SCF91F0B5122D87,SELLER,CROSSDOCK_HUB,MAILAMERICAS,4,2,2,1,False,True,1,249.02,70.0,11400,30,False,False,False,True,0.8384511784511784
FOFCL000028034841,DATE_RANGE,HOME_DELIVERY,SELLER,TRUSTMOBILEGSC-SC85E11F5029A76,SELLER,CROSSDOCK_HUB,COURIER INTERNACIONAL,4,2,2,1,False,True,2,225.02,70.0,9960,35,False,False,False,True,0.7576430976430977
FOFCL000028034970,DATE_RANGE,HOME_DELIVERY,SELLER,WATER. CLGSC-SCFFFFA0441303F,SELLER,CROSSDOCK_HUB,COURIER INTERNACIONAL,4,2,2,1,False,True,2,249.02,70.0,11400,35,False,False,False,True,0.8384511784511784
FOFCL000028034930,REGULAR,HOME_DELIVERY,SELLER,LATAM HOMEGSC-SC405E8AED9BBA9,SELLER,WAREHOUSE,HOME DELIVERY CORP,6,3,3,2,True,True,1,97.5,3.0,330,65,False,False,False,True,2.8676470588235294
FOFCL000028035343,DATE_RANGE,HOME_DELIVERY,SELLER,SWISHPOP PERFUMESGSC-SC73D48EAECE761,SELLER,CROSSDOCK_HUB,COURIER INTERNACIONAL,4,2,2,1,False,True,2,201.02,190.0,8520,35,False,False,False,True,0.6768350168350169
FOFCL000028035577,DATE_RANGE,HOME_DELIVERY,SELLER,WATER. CLGSC-SCFFFFA0441303F,SELLER,CROSSDOCK_HUB,COURIER INTERNACIONAL,4,2,2,1,False,True,2,249.02,70.0,11400,35,False,False,False,True,0.8384511784511784
FOFCL000028034775,DATE_RANGE,HOME_DELIVERY,SELLER,MOUNT ZION CLGSC-SC37DF478F9B2F3,SELLER,CROSSDOCK_HUB,COURIER INTERNACIONAL,4,2,2,1,False,True,2,225.02,70.0,9960,35,False,False,False,True,0.7576430976430977
FOFCL000028034922,DATE_RANGE,HOME_DELIVERY,SELLER,COOLCLUB CLGSC-SC1F96D513013BD,SELLER,CROSSDOCK_HUB,COURIER INTERNACIONAL,4,2,2,1,False,True,2,369.02,68.0,15600,35,False,False,False,True,1.2424915824915825
FOFCL000028035097,MESON,COLLECT,SELLER,DBSGSC-SC5D0BFEEE6F30F,SELLER,PICKUP_POINT,HOME DELIVERY CORP,6,3,3,2,True,True,1,75.0,8.0,780,65,False,False,False,True,2.8846153846153846
FOFCL000028035752,DATE_RANGE,HOME_DELIVERY,SELLER,COOLCLUB CLGSC-SC1F96D513013BD,SELLER,CROSSDOCK_HUB,COURIER INTERNACIONAL,4,2,2,1,False,True,2,369.02,68.0,15600,35,False,False,False,True,1.2424915824915825
FOFCL000028035856,DATE_RANGE,HOME_DELIVERY,SELLER,ZOOMBIGDEALGSC-SCE6504B47E7138,SELLER,CROSSDOCK_HUB,COURIER INTERNACIONAL,4,2,2,1,False,True,2,225.02,70.0,9960,35,False,False,False,True,0.7576430976430977
FOFCL000028452484,MESON,COLLECT,STORE,FALABELLA PLAZA EL TRÃ‰BOL,FALABELLA,STORE,FALABELLA,2,1,1,0,False,False,1,13.0,1.0,60,5,True,False,False,False,0.5
FOFCL000028035907,DATE_RANGE,HOME_DELIVERY,SELLER,COOLCLUB CLGSC-SC1F96D513013BD,SELLER,CROSSDOCK_HUB,COURIER INTERNACIONAL,4,2,2,1,False,True,2,369.02,68.0,15600,35,False,False,False,True,1.2424915824915825
FOFCL000028035704,DATE_RANGE,HOME_DELIVERY,SELLER,HSC AL OTRO LADO DEL PACIFICO CLGSC-SCD8A8DF2C17725,SELLER,CROSSDOCK_HUB,COURIER INTERNACIONAL,4,2,2,1,False,True,2,249.02,70.0,11400,35,False,False,False,True,0.8384511784511784
FOFCL000028034995,DATE_RANGE,HOME_DELIVERY,SELLER,WATER. CLGSC-SCFFFFA0441303F,SELLER,CROSSDOCK_HUB,COURIER INTERNACIONAL,4,2,2,1,False,True,2,249.02,70.0,11400,35,False,False,False,True,0.8384511784511784
FOFCL000028035184,DATE_RANGE,HOME_DELIVERY,SELLER,COOLCLUB CLGSC-SC1F96D513013BD,SELLER,CROSSDOCK_HUB,COURIER INTERNACIONAL,4,2,2,1,False,True,2,369.02,68.0,15600,35,False,False,False,True,1.2424915824915825
FOFCL000028035447,DATE_RANGE,HOME_DELIVERY,SELLER,VEIDOO OFFICIAL STOREGSC-SC37E829607A9EC,SELLER,CROSSDOCK_HUB,MAILAMERICAS,4,2,2,1,False,True,1,249.02,70.0,11400,30,False,False,False,True,0.8384511784511784
FOFCL000028036347,MESON,COLLECT,SELLER,WORLD SUPER STOREGSC-SC530DD6181A886,SELLER,STORE,TOTTUS,6,3,3,2,True,True,2,28.17,8.0,780,70,False,False,False,True,1.0834615384615385
FOFCL000028036472,REGULAR,HOME_DELIVERY,SELLER,BLACK FACTORY SPAGSC-SC4F88410773EB7,SELLER,WAREHOUSE,HOME DELIVERY CORP,6,3,3,2,True,True,1,217.5,120.0,4470,65,False,True,False,True,6.397058823529412
FOFCL000028036007,DATE_RANGE,HOME_DELIVERY,SELLER,MOBILE REFRESHGSC-SC169045D730834,SELLER,CROSSDOCK_HUB,COURIER INTERNACIONAL,4,2,2,1,False,True,2,225.02,70.0,9960,35,False,False,False,True,0.7576430976430977
FOFCL000028036270,REGULAR,HOME_DELIVERY,SELLER,IMAHEGSC-SC941D9EF2D0F6D,SELLER,WAREHOUSE,HOME DELIVERY CORP,6,3,3,2,True,True,1,26.0,8.0,630,65,False,False,False,True,0.7647058823529411
FOFCL000028035978,DATE_RANGE,HOME_DELIVERY,SELLER,BEBESITGSC-SCE7934463802E8,SELLER,THREE_PL_HUB,BLUEEXPRESS,6,3,3,2,True,True,2,517.0,8.0,2490,70,False,False,False,True,1.7407407407407407
FOFCL000028036227,DATE_RANGE,HOME_DELIVERY,SELLER,WATER. CLGSC-SCFFFFA0441303F,SELLER,CROSSDOCK_HUB,COURIER INTERNACIONAL,4,2,2,1,False,True,2,249.02,70.0,11400,35,False,False,False,True,0.8384511784511784
FOFCL000028427270,MESON,COLLECT,STORE,FALABELLA INDEPENDENCIA,FALABELLA,STORE,FALABELLA,2,1,1,0,False,False,1,13.0,1.0,60,5,True,False,False,False,0.5
FOFCL000028036800,DATE_RANGE,HOME_DELIVERY,SELLER,MÃS VENDIDO CLGSC-SC75F849C3CF033,SELLER,CROSSDOCK_HUB,COURIER INTERNACIONAL,4,2,2,1,False,True,2,393.02,94.0,17160,35,False,False,False,True,1.3232996632996632
FOFCL000028036843,REGULAR,HOME_DELIVERY,WAREHOUSE,FALABELLA LOF3 - 9992,FALABELLA,WAREHOUSE,HOME DELIVERY CORP,4,2,2,1,False,True,1,98.0,15.0,240,20,False,False,False,False,2.8823529411764706
FOFCL000028036775,DATE_RANGE,HOME_DELIVERY,SELLER,WATER. CLGSC-SCFFFFA0441303F,SELLER,CROSSDOCK_HUB,COURIER INTERNACIONAL,4,2,2,1,False,True,2,249.02,70.0,11400,35,False,False,False,True,0.8384511784511784
FOFCL000028037232,REGULAR,HOME_DELIVERY,SELLER,MUEBLES MPRGSC-SC6EF4912024077,SELLER,WAREHOUSE,HOME DELIVERY CORP,6,3,3,2,True,True,1,217.5,120.0,4470,65,False,True,False,True,6.397058823529412
FOFCL000028036658,DATE_RANGE,HOME_DELIVERY,SELLER,MÃS VENDIDO CLGSC-SC75F849C3CF033,SELLER,CROSSDOCK_HUB,COURIER INTERNACIONAL,4,2,2,1,False,True,2,393.02,94.0,17160,35,False,False,False,True,1.3232996632996632
FOFCL000028036686,DATE_RANGE,HOME_DELIVERY,SELLER,TRUSTMOBILEGSC-SC85E11F5029A76,SELLER,CROSSDOCK_HUB,COURIER INTERNACIONAL,4,2,2,1,False,True,2,225.02,70.0,9960,35,False,False,False,True,0.7576430976430977
FOFCL000028452602,MESON,COLLECT,STORE,FALABELLA PLAZA EL TRÃ‰BOL,FALABELLA,STORE,FALABELLA,2,1,1,0,False,False,1,13.0,1.0,60,5,True,False,False,False,0.5
FOFCL000028037323,DATE_RANGE,HOME_DELIVERY,SELLER,TECHHOME CLGSC-SC2293EA241B932,SELLER,CROSSDOCK_HUB,COURIER INTERNACIONAL,4,2,2,1,False,True,2,369.02,68.0,15600,35,False,False,False,True,1.2424915824915825
FOFCL000028037069,DATE_RANGE,HOME_DELIVERY,SELLER,YUNJI STORE CLGSC-SCF91F0B5122D87,SELLER,CROSSDOCK_HUB,MAILAMERICAS,4,2,2,1,False,True,1,249.02,70.0,11400,30,False,False,False,True,0.8384511784511784
FOFCL000028037299,REGULAR,HOME_DELIVERY,WAREHOUSE,LOF1-FBY-9006,FALABELLA,WAREHOUSE,HOME DELIVERY CORP,4,2,2,1,False,True,1,34.0,15.0,270,20,False,False,False,False,1.0
FOFCL000028037441,MESON,COLLECT,SELLER,CONTROL REMOTO CHILEGSC-SCE9CD6933B2A5B,SELLER,PICKUP_POINT,CHILEXPRESS,10,5,5,4,True,True,3,50.02,1.0,720,125,True,False,True,True,1.923846153846154
